,utterenaces
s-10,"['what time would you like to arrive at castle galleries', 'what time of day would you like to travel and to where', 'i can help where to and from and what time', 'at what time do you want to travel', 'what time would you like to leave or arrive by', 'what time would you like your reservation', 'what time would you like to leave and arrive by', 'i d be happy to help what time would you like to leave andor arrive by', 'what time would you like these reservations', 'ok what time do you want to leave']"
s-11,"['do you have a arrival time in mind', 'is there a time you would like to leave by or arrive by', 'tr9016 is the earliest departure after 2045 would you like to change your specified time', 'do you have a time you need to leave or arrive by', 'sure thing is there a specific time you need to leave', 'is there a certain time of day you would like to travel', 'i ll need to know when you need to be picked up or dropped off', 'do you want to arrive by 0815 morning or 2015 evening', 'is there a specific time you need to arrive by', 'we have several do you have a preferred arrival time']"
s-12,"['sure thing when you like to leave by', 'sure when would you like to leavearrive', 'sure when would you like to arrive', 'of course when would you like to stay', 'sure but i ll need some additional information how many days shall i book for when would you like to check in', 'okay i need to know when you would like to leave the hotel and when you d like to arrive at the museum please', 'sure thing when you like to leave by', 'sure when would you like to depart', 'sure what time would you like the booking', 'okay and when would you like the reservation to be']"
s-13,"['what day would you like to travel by train', 'what day would you like to book that for', 'what day and time would you like those reservations', 'what day would you like to travel and what time would you leave or arrive by', 'of course what day would you like your reservation to begin', 'what day did you want to travel and did you have a time you preferred to leave', 'great what day would you like to book anything else you want to share', 'we have several what day would you like to travel', 'what part of town what day would you like to start your stay', 'ok what day would you like to leave']"
s-14,"['i have begun a booking for you at avalon how many days will you be staying', 'before booking the hotel i need to know how many days will you stay', 'sure for how many nights will you be staying', 'i m happy to book that for you i just need to know how many nights you ll be staying also how many people', 'how many people will be staying with you and what day would you like to reserve your hotel room', 'we have quite a few in the north when are you planning your stay', 'how many people what time and day please', 'absolutely on what day for how many people and how long is your stay', 'their postcode is cb11ly if you want to make a booking then i need to know what day you d arrive how many nights you d stay and how many people', 'lets finish your hotel booking first okay how many rooms will you need and for how many nights beginning which day']"
s-15,"['do i book only one ticket', 'yes please confirm how many tickets you would like me to book just the one', 'i can definitely do that how many tickets would you like', 'how many tickets will you need', 'i have booked you 2 tickets', 'you can buy up to eight tickets', 'ok how many seats would you like to book', 'how many tickets do you need', 'how many seats will you need', 'tickets are 7510 pounds is there anything else you need']"
s-16,"['and how many people will be staying', 'how many people will be dining', 'ok what nights and how many people', 'how many people are in your party', 'how many people will be travelling with you', 'sure what time and how many people', 'may i ask how many people will be staying in the room with you', 'sure how many people will be dining', 'okay how many people will be staying', 'for how many people']"
s-17,"['i would recommend the train that leaves at 1354 would you like me to book that', 'alright just to confirm you do not need me to book you for the train', 'there are 10 trains tr9448 leaves at 554 would that work for you', 'the train id for the departure at 2121 is tr9016 and the trainid that departs at 2312 is tr6387 would you like me to book on of these for you', 'i have train tr7721 arriving at 738 would you like that one', 'okay there are two trains one leaves at 516 and the other at 616 can i book either of these for you', 'the train id is tr4216 can i help you with anything else today', 'alright i have train tr4813 that leaves sunday at 1432 from broxbourne will this work better for you', 'the train id is tr1791 would you like me to book a seat is there anything else i can help you with today', 'i m sorry the earliest train i have on sunday leaves at 1159']"
s-18,"['how about the 1159 that will arrive by 1327 it is 1660 pounds', 'the price is 1432 pounds per person', 'ok the price is 1660 pounds for 1 ticket do you want me to book it', 'there are 5 leaving after 1515 the first one is leaving at 1539 and takes 88 minutes you d arrive by 1707 and the cost is 1660 pounds', 'train tr6110 leaves at 1300 and arrives at 1351 it is 2360 pounds would you like me to book it for you', 'that train costs 440 pounds', 'the price is 980 pounds payable at the station how else can i help you', 'the trip will take 50 minutes and is 1650 pounds would you like me to book a ticket for you', 'price is 440 pounds should i book it for you', 'the price is 1408 pounds can i help you with anything else today']"
s-19,"['travel time will be 79 minutes total', 'tr9448 leaves at 0554 and arrives at 0643 the travel time is 49 minutes', 'yes travel is exactly 49 minutes', 'the travel time of that train is 79 minutes', 'the total travel time is 79 minutes can i do anything else for you today', 'duration for this particular trip is 50 minutes', 'the arrival time is 1708', 'the travel time is 79 minutes', 'the price is 1660 pounds and travel time is an hour 28 minutes can i assist you with anything else', 'the travel time is 49 minutes']"
s-20,"['tr9320 will leave at 1809 and arrive at 1954 can i book that for you', 'tr2854 leaves at 1221 would that work for you', 'tr3078 departs at 1116 and arrives by 1235 would you like a ticket', 'the one closest to your desired arrive by time will arrive at 1255 and depart at 1136 would you like me to book this for you', 'how about tr4134 it leaves at 0916', 'there are many options leaving after 1245 the earliest departure after 1245 is 1306 arriving by 1356 would you like to book that option', 'tr8935 leaves at 719 and will arrive at 809 would you like me to book it', 'i d recommend tr4969 it arrives by 1055 would you like a ticket', 'okay how about the travellers rest on the west side', 'the departure time is 1338 and it arrives at 1455 would you like me to book it for you']"
s-21,"['the booking was unsuccessful would another day or time work', 'i am sorry it appears that the hotel does not have anything available would you like to try a shorter stay or a different check in date', 'i m so sorry but there are no available rooms for that length of stay starting on sunday would you like to book a different day or shorten your stay', 'there is no availability at that time in the establishment would you like to try a different place', 'unfortunately it can not be booked for 3 days did you want to get information about a different hotel instead', 'i am sorry but i ca nt book it without the time when did you want to go', 'i am unable to book that for you we can try another day or a shorter stay if you like', 'unfortunately that did nt work do you want to shorten your trip', 'i m sorry it seems they are unable to accommodate you at that day and time would you like me to try another', 'i m very sorry but there are no rooms available for five days starting on thursday should i try to find a different hotel']"
s-22,"['just to confirm you wanted picked up at alexander bed and breakfast correct', 'you are set i have made you a reservation at the limehouse for friday night', 'i am unable to book at this time', 'have you booked 9l1suxc3 is your confirmation anything else', 'great shall il go ahead and book you then', 'the earliest option would leave at 1129 shall i book it for you', 'it looks as though they have only booked you for one ticket i m sorry', 'okay the booking has been revised to reflect three guests my apologies for that', 'unfortunately our booking system is down at this time', 'before i book this hotel i just want to inform you that i have confirmed that it is not a guesthouse but a hotel would you still like me to book']"
s-23,"['there are 3 turkish restaurants in the centre would you prefer expensive or moderate price range', 'i ve found 8 restaurant that meet your criteria would you like to narrow your search by price range', 'what price range do you want your restaurant', 'there are 15 cheap restaurants in the centre what type of food do you want to eat', 'there are 21 great places to choose from do you have a certain type of restaurant you are looking for perhaps italian or european', 'there are nt any thai restaurants in that price range in the centre of town would you like to try something else', 'i have 7 british restaurants in the centre of town which price range would you prefer', 'we have over 110 restaurants to choose from can you tell me what your pricerange andor style of food might be to narrow it down', 'certainly there are 21 moderate restaurants to choose from in the centre are you in the mood for any particular type of food', 'i have found results for 14 restaurants in the west are you looking for a particular type of cuisine or price range']"
s-24,"['okay how about the acorn guest house it s located on 154 chesterton road would you like me to make a reservation', 'sure acorn guest house has 4 stars would you like me to book it', 'how about acorn guest house', 'i recommend the acorn guest house would you like a room there', 'i have that reservation made at the acorn guest house for 5 nights 6 people and you guys will arrive on saturday', 'i would suggest acorn guest house', 'the phone number for acorn guest house is 01223353888 is there anything further i can assist you with today', 'does acorn guest house on 154 chesterton road work for you should i book it', 'acorn guest house is available would you like to try that', 'the acorn guest house is in the north and moderately priced will that suit you']"
s-25,"['city centre north b and b is in the north area and has free parking would like reservations', 'cityroomz has a 0 star rating with free internet but does not provide parking would you like to make a reservation', 'university arms hotel is both expensive and offers free parking would you like me to book a reservation for you', 'well we ve got the alexander bed and breakfast in the same area that has both parking and wifi would you like to make a booking there', 'yes there are 21 guesthouses with free parking is there an area of town or price range that you prefer', 'carolina bed and breakfast and warkworth house are both guesthouses in the east that have free internet and parking', 'the kirkwood house is in the north and it sports a four star rating it has internet and parking and the price range is moderate would you like to book', 'my records do not show any 5 star hotels with free parking however the huntingdon marriott hotel is a 4 star hotel with free parking would that be okay', 'is there any preference for wifi or parking access', 'i recommend arcon guesthouse it matches your description and even has free parking can i book you into it']"
s-26,"['city centre north b and b is a zero star guesthouse would you like me to book a room for you', 'i m sorry but there are no guesthouses in the south with zero stars and free parking there is a 3star guesthouse called bridge guest house are you interested', 'then i would recommend rosa s bed and breakfast a cheap 4 star guesthouse do you need more information', 'it is a guesthouse in the moderate price range would you like me to book it for you', 'a and b guest house is a nice place with a 4 star rating', 'home from home is a great 4 star guesthouse located at 7880 milton road cb41la is there anything else i can assist you with', 'leverton house is a guesthouse located in the east area it s a 4 star hotel in the cheap price range they offer internet and parking their phone number is 01223292094', 'i m sorry but the hobsons house is a 3 star guesthouse', 'you re in luck i have 3 cheap 4star guesthouses in the east i recommend the allenbell would you like to book a room', 'the alexander bed and breakfast is a 4 star guesthouse that is cheap does that interest you']"
s-27,"['would you like a hotel or guest house', 'i would recommend the archway guesthouse do you want more information or a booking', 'i have some excellent guesthouse choices may i check availability for a certain date', 'i d like to suggest alphamilton guest house is there anything else i could help you with', 'the lensfield hotel fits your needs would you like info or a booking', 'cityroomz offers moderately priced lodgings in the centre of town would you like a room', 'let me look for a hotel with wifi', 'cityroomz is a hotel that matches that requirement would you like to stay there', 'what price range guesthouse would you like', 'everyone loves the a and b guest house shall i book it for you']"
s-28,"['there are no 5 star hotels do you want to choose something else', 'there are 21 hotels that meet your needs would you like to narrow your search by area andor price range', 'there are no 4 star hotels in this area', 'i m sorry but we have no hotels on the north side meeting your criteria could we try another area', 'there are 3 options for hotels in the centre there is one 0 star one 3 star and one 4 star option which would you prefer', 'you have about 8 places that would fit your criteria almost all are 4 star rated if you do nt mind a recommendation the limehouse is known as one of the best', 'no it has a 4 star rating there are no hotels with your requirements in the centre area', 'i m so sorry but we do nt have anything that exactly matches that since you want a 0 star how about a cheap guesthouse called el shaddai in the centre', 'we have guesthouses and hotel ranging from 0 to 4 stars do you have a preference on price range so we can narrow it a bit more', 'there are nt any moderately priced hotels in that region do you want to look for something else']"
s-29,"['there are two gonville hotel at the centre and the lensfield hotel in the south which one do you prefer', 'the lensfield hotel is in the south it is a 3 star hotel would you like me to book it for you', 'there are two hotels in the north that fit your criteria the ashley hotel and the lovell lodge would you like to book one of these', 'we have alexander bed and breakfast guesthouse and university arms hotel do you have an interest in either', 'i have the ashley hotel located in the north', 'alexander bed and breakfast and el shaddai are both available', 'they have free wifi but their rating is 2 i think university arms hotel will suit you better in that case', 'i d recommend the gonville hotel it meets your criteria would you like to make a booking', 'there are 10 cheap hotel s in town would you like to be in the north south east west or central location', 'the cambridge belfry is a cheap hotel in the west would you like their address']"
s-30,"['thank you for using our system', 'thank you for using our system', 'thank you for using our system', 'thank you for using our system have a great day', 'thank you for using our system', 'okay have a good day and thanks for using our system', 'great thank you for using our system', 'thank you for using our system', 'thank you for using our system', 'thank you for using our system']"
s-31,"['thank you for using our system good bye', 'thank you for choosing our system good bye', 'thank you for using our system goodbye', 'thank you for using our system good bye', 'thank you for choosing our system good bye', 'thank you for using our system good bye']"
s-32,"['thank you for using this system', 'thank you for using this system', 'you re welcome thank you for using this system', 'thank you for using this system', 'thank you for using this system', 'thank you for using this system', 'thank you for using this system goodbye', 'thank you for using this system']"
s-33,"['thank you for using our service', 'thank you for using our service today', 'thank you for using our service', 'thank you for using our service', 'thank you for using our service today', 'thank you for using our service today', 'thank you for using our service today', 'thanks for using our service today', 'thank you for using our service today', 'thank you for using our service today']"
s-34,"['welcome at your service next time', 'welcome next time', 'welcome at your service next time', 'welcome have we done all you wanted us to', 'welcome at your service next time', 'welcome again some other time', 'welcome again it has been a pleasure to serve you', 'welcome again some other time', 'you are welcome to use our services any time', 'always welcome at your service']"
s-35,"['thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today', 'thank you for using our system today']"
s-36,"['great thank you for visiting us and i hope that you enjoy your stay', 'i am glad that i can help have a nice stay', 'i am glad i can help enjoy your stay', 'i m happy i could help you enjoy your trip good bye', 'i am glad we can help enjoy your stay', 'thank you for letting us assist you today enjoy your trip goodbye', 'thanks for letting us assist you today enjoy your visit', 'okay i hope you enjoy your stay', 'i am glad to help enjoy your stay', 'i am glad i can help enjoy your stay']"
s-37,"['thanks for inquiring with us and have a great day', 'thanks for inquiring with us have a nice day', 'thank you for contacting us and have a nice day', 'thank you for contacting us and have a nice day', 'thank you for contacting us and have a nice day', 'thank you for contacting us and have a nice day', 'thank you for contacting us have a nice day', 'thank you for contacting us have a great day', 'thank you for contacting us and have a nice day', 'thank you for contacting us and have a nice day']"
s-38,"['okay thanks and have a great day', 'thank you have a wonderful day', 'thank you have a great day', 'thank you have a great day', 'thanks you and have a great day', 'thank you and have a good day', 'thank you have a great day', 'thank you have a nice day', 'thank you very much have a nice day', 'thank you have a great day']"
s-39,"['okay thank you for calling', 'okay thank you for calling', 'thank you for calling', 'okay thank you for calling', 'okay thank you for calling', 'well thank you for calling', 'okay great thanks for calling and enjoy your dinner', 'have a nice day and thank you for calling', 'you too thanks for calling', 'alright thank you for calling']"
s-40,"['you are more than welcome', 'you are more than welcome', 'you are most welome', 'you are welcome any time', 'you are more than welcome', 'you are welcome all the time', 'you are more than welcome', 'you are quite welcome', 'you are most welcome', 'you are most welcome']"
s-41,"['well you re welcome then have a great day', 'welcome and gooday too', 'you re welcome likewise', 'you re welcome and you have a great day', 'you re welcome you do the same', 'you re welcome and you too', 'you re welcome and good luck', 'you re welcome and have a great day', 'you take care too and be safe', 'welcome and have a great day']"
s-42,"['you are welcome enjoy your stay', 'enjoy your stay', 'thank you and enjoy your stay', 'you re welcome enjoy your stay', 'enjoy your stay here', 'okay enjoy your stay', 'enjoy your stay', 'thanks enjoy your stay', 'enjoy your stay', 'sure thing enjoy your stay']"
s-43,"['have a great time', 'have a great trip', 'have a great time', 'enjoy your visit', 'i hope you enjoy your dinner', 'thank you have an enjoyable trip', 'have a nice trip', 'have a safe trip', 'enjoy your visit', 'okay have a great trip']"
s-44,"['have a good one', 'have a good one', 'have a good one']"
s-45,"['have a nice day', 'have a nice day', 'have a nice day', 'have a nice day', 'have a nice day', 'have a nice day', 'have a nice day', 'have a nice day', 'have a nice day', 'have a nice day']"
s-46,"['you are welcome thank you for calling cambridge towninfo centre goodbye', 'thank you for contacting cambridge towninfo centre goodbye', 'thank you for calling please enjoy your trip to cambridge and let us know if there is any other way we can help goodbye', 'you are welcome the cambridge towninfo centre is always here for you goodbye', 'you are very welcome thanks for using cambridge towninfo centre goodbye', 'thank you for reaching out to cambridge towninfo centre goodbye', 'thank you for contacting cambridge towninfo centre goodbye', 'thank you for using the cambridge restaurant system please call again', 'have a good trip thank you for using cambridge towninfo centre goodbye', 'thanks for using the cambridge towninfo centre goodbye']"
s-47,"['you are welcome enjoy your stay in cambridge good bye', 'thank you enjoy the stay in cambridge', 'i m glad we could be of service today enjoy your time in cambridge', 'goodbye enjoy your stay in cambridge', 'i m so happy we could help you out today enjoy your meal in cambridge', 'thank you for using our service and enjoy your time in cambridge', 'i hope you have a great stay in cambridge', 'thank you for using the cambridge town info service enjoy your time in cambridge', 'enjoy your visit to cambridge and gave a good day', 'you re welcome hope you enjoy your stay at the alyesbray lodge guest house and your visit to the cambridge museum of technology']"
s-48,"['train tr0339 leaves norwich at 0716 and arrives in cambridge at 0835 would you like me to book this train', 'there are daily departures from cambridge at 0706 that arrive in petersborough at 0756 which day were you planning to travel', 'there are daily departures from cambridge at 0706 that arrive in petersborough at 0756 would you like to book tickets', 'i only have two trains that leave from cambridge wednesday the tr9016 departs at 2121 and the tr6387 departs 2321', 'your best best is tr0721 leaving cambridge at 1150 and arriving ely at 1207 the trains only run every 2 hours on saturdays', 'i have several trains headed to cambridge on wednesday where will you be departing from', 'there are 14 trains leaving monday from cambridge to stansted airport after 1030 the closest departure to that would be tr8207 leaving at 1040 shall i book this for 2', 'there are over 1000 trains that arrive in cambridge after 830 what location are you leaving from and what date are you leaving', 'train tr9460 leaves cambridge at 1536 and would get you to norwich by 1655 would you like me to book for you', 'the train id is tr5219 and it leaves london kings on friday']"
s-49,"['thank you and goodbye', 'you as well thank you goodbye', 'thank you and good bye', 'thank you and enjoy your stay goodbye', 'you re welcome thank you and goodbye', 'ok thank you and good bye', 'thank you good bye', 'thank you and good bye', 'you too thank you and bye', 'you as well goodbye']"
s-50,"['you are welcome thank you for calling goodbye', 'goodbye and thank you for using our service', 'thank you for contacting us goodbye', 'you re welcome thanks for contacting us goodbye', 'thank you for calling enjoy goodbye', 'please contact us again in the future goodbye', 'thank you for calling i hope you enjoy your trip goodbye', 'please contact us again in the future goodbye', 'thank you for your call please enjoy your trip goodbye', 'thank you for contacting us today goodbye']"
s-51,"['goodbye', 'goodbye', 'good bye', 'goodbye', 'goodbye', 'good bye', 'goodbye', 'good bye', 'goodbye', 'good bye']"
s-52,"['their address is parkside cambridge postcode cb11jg can i assist you further', 'the address is hills rd cambridge postcode cb20qq', 'certainly the postcode is cb20qq and the address is hills road cambridge', 'the address is parkside cambridge and the post code is cb11jg', 'the cambridge belfry is a cheap hotel the address is back lane cambourne and the phone number is cb236bw', 'the address is hills rd cambridge cb20qq is there anything else you need', 'the address is hills rd cambridge and the postcode is cb20qq', 'of course my apologies the address is parkside cambridge postcode cb11jg', 'of course it s free to get in the phone number is 0122333516 and their address is university of cambridge downing street', 'yes the address is hills rd cambridge and the postcode is cb20qq']"
s-53,"['parkside cambridge police station the telephone number is 01223358966', 'please contact the parkside police at 01223358966', 'you can contact the parkside police station at 01223358966', 'hello the name is parkside police station located at parkside cambridge post code cb11jg the phone number is 01223358966 do you need help with anything else', 'oh no you should call the police at 01223358966', 'the address to the police is parkside cambridge', 'you should telephone the police immediately at 01223358966', 'i have the parkside police station their number is 01223358966 the postcode is cb11jg', 'cambridge parkside police telephone number 01223358966', 'is parkside police station near your location']"
s-54,"['yes the restaurant name is thanh binh the phone number is 01223 362456 the address is 17 magdalene street city centre', 'i d recommend milton country park on milton country park milton cb46az their phone number is 01223420060 will that be all', 'i recommend carolina bed and breakfast it s located close to where you ll be dining and is moderately priced their address is 138 perne road and their phone number is 01223247015', 'unfortunately i cant find a listing in the east part of town the next listing available is in the centre and it does have free wifi', 'would you like the main number or a department number for any of the facilities in the hospital', 'sala thong is an expensive restaurant located at 35 newnham road newnham the phone number is 01223 323178', 'i would recommend graffiti it is a bit expensive so if you want something moderately price there is also saint johns chop house', 'i recommend the eraina the address is on free school lane city centre cb23rh the phone number is 01223368786', 'postcode is cb41ha and phone number is 01223369299 would you like for me to make a reservation for you', 'unfortunately i do not know if they serve drinks on the riverboat georgina would you like their phone number']"
s-55,"['sure the address is between victoria road and the river the postcode is cb43px and the phone number is 01223302579', 'addenbrookes hospital has a transplant high dependency unit the phone number for the transplant high dependency unit is 01223216811 would you like the address and postcode as well', 'the postcode is cb17dy and the phone number is 01223323737', 'i m uncertain about the entrance fee the postcode is cb11ps and the phone number is 08712240240 anything else today', 'their phone number is 01223446104 and postcode cb18dw the university arms hotel is available and it includes both internet and parking', 'the phone number is 01223 360966 and the postcode is cb 4 1 uy', 'their phone number is 01223368650 and their postcode is cb58ld', 'kettle s yard is great their phone number is 01223748100 the postcode is cb30aq', 'sure their phone number is 01223364917 and their post code is cb21uf', 'you can try adc theatre phone number is 01223300085 and postcode cb58as']"
s-56,"['rosa s bed and breakfast post code is cb22ha', 'absolutely the postcode is cb11jg', 'the address and post code is different for each which one would you like please', 'the postcode of corpus christi is cb21rh', 'they are in the north and their postcode is cb43ax', 'the postcode is cb58bs will that be all', 'their post code is cb13js and they are located in 517a coldham lane', 'sure the postcode is cb23qf', 'the milton park is free the postcode is cb46az', 'the postcode is cb18dw']"
s-57,"['the telephone number is 01223217712', 'you can find them with this number 01223596066', 'yes it does the phone number is 01223596066', 'yes their phone number is 01223352500', 'here is the phone number 01223352500', 'their telephone number is 01223245151 i can look up specific departments at the hospital', 'yes i will get a confirm number for you', 'yes their number is 01223274280', 'the telephone number is 01223586967', 'the phone number you need is 01223217450']"
s-58,"['it is 1280 pounds', 'yes it arrives at 1443', 'the gardenia should meet your needs', 'the gardenia is in the centre of town', 'of course it is cb41as', 'hobsons house is in the west part of town', 'i believe so yes', 'yes it does', 'cb58bs jesus lane', 'in that case i would suggest the worth house']"
s-59,"['there are a number of colleges in the west i suggest magdalene college on magdalene street cb30ag phone is 01223332138 entrance is free', 'people s portraits exhibition at girton college is located at girton college on huntingdon road in the west side of town would you like their phone number', 'christ s college looks good it s in the city centre and has a free entrance fee', 'there are 13 colleges in the center of town does entrance fee matter to you', 'there are no colleges in the north however christ s college in the centre is nice with no entrance fee would you like the address', 'sure there are 5 colleges in the west part of town how about clare college', 'clare college is located on trinity lane anything else', 'i have 5 colleges in the west area queens college magdalene college clare hall clare college and churchill college is there any other information that you need', 'there are a few colleges in the centre do you know the name of the college or do you prefer free entrance fees', 'okay downing college is on regent street the post code is cb21dq it s free']"
s-60,"['how about all saints church', 'i d recommend all saints church would you like more information on it', 'definitely all saints church is a great place to visit and it s free', 'i recommend holy trinity church in the centre it s free to visit would you like the address and phone number', 'holy trinity church is in the centre area on market street', 'yes i would recommend the all saints church what information would you need for this attraction', 'there are 5 great places to visit in the centre my favorite is all saints church would you like the address', 'there are 5 different attractions all located in the centre of the city i d recommend holy trinity church', 'there are five options great saint mary s church is a great option', 'great st mary s church entrance fee is 2 pounds their phone number is 01223350914 and the post code is cb23pq']"
s-61,"['they offer free entrance they are located on jesus lane phone number is 0122345287 unfortunately they do not provide us with email addresses anything else i can help with', 'sure the broughton house gallery is located at 98 king street cb11ln it s free to get in', 'most are free but corpus christi has a 2 pound fee saint john s has a 250 pound fee and trinity has a 1 pound fee', 'there is no entrance fee would you like the phone number', 'the entrance fee for that is unknown according to our system is there anything else i can help you with', 'there are 18 of them in the city do you mind an entrance fee or would you prefer one that s free', 'i have the broughton house gallery in the centre the entrance fee is free', 'there are 13 entries that match your criteria what entrance fee are you looking to meet', 'they are located in cb23qf and can be reached at 01223477900 the cover charge is 4 pounds', 'i m not sure what the entrance fee is but i could give you their phone number']"
s-62,"['great they are located at g4 cambridge leisure park clifton way cherry hinton would you like me to reserve a table for you', 'the cambridge punter is located at 251a chesterton road would that fit the bill', 'sorry the cambridge punter is in the center but there s the riverboat georgina in the north', 'i need just a little more information to help i think all places in cambridge are special and i would like to be able to narrow it down for you', 'the man on the moon is a fantastic concerthall located in the centre at 2 norfolk street postcode cb12lf i do nt have an entrance fee available but you could call 01223474144', 'the address is cambridge passenger cruisers jubilee house postcode cb43ax there are two indian restaurants in the north one is moderately priced the other is cheap', 'cherry hinton hall and grounds is available would that work for you', 'how about the express by holiday inn cambridge in the east side of town', 'there are two boating places scudamores punting co and the cambridge punter which would you like', 'nandos fits your request perfectly it s located at cambridge leisure park clifton way would you like additional information']"
s-63,"['yes that is correct is there anything else i can help you with', 'sorry i dont have that in our list is there something else i can do for you', 'is there anything else i can help you with', 'i will book it for you is there anything else i can do for you', 'i am unable to make a booking for that right now is there anything else i can do for you', 'is there anything else i can help you with', 'what else can i do for you today', 'is there anything else i can help you with', 'is there anything else i can help you with today', 'is there anything else that i can help you with']"
s-64,"['your welcome i m glad i could help', 'i m glad i could help', 'great i m glad i could help bye', 'okay glad i could help', 'glad i could be of assistance', 'i m glad i could help', 'okay glad we could help', 'okay i am glad i could be of assistance', 'glad i could help', 'i m glad i could be of assistance']"
s-65,"['you re welcome and i apologize again for the confusion if i can help you with anything else in the future do nt hesitate to ask', 'call us again anytime good bye', 'if there is anything else you might need please feel free to call back enjoy your day', 'okay if there s anything else you need please just call us back goodbye', 'you are welcome please call us back if you need anything further', 'and thank you for calling in please take care and call if you need anything else', 'great if you need further assistance you can always contact us', 'thank you if you need anything else do nt hesitate to contact me again', 'ok please do nt hesitate to contact me again if you need more help bye', 'i m glad i was able to help please call back if you have any more questions']"
s-66,"['alright i ll fix it for you', 'i will work on looking for one and let you know shortly', 'yeah sore you can get one thank you', 'sure i have 5 options for you', 'sure i have 7 options for you', 'okay i have contacted the emergency department for you can i have your address', 'alright if you think of anything else you may need feel free to contact me have a good day', 'sure good luck', 'okay just let me know', 'no problem any preference on type']"
s-67,"['the contact number is 07833391546 do you have any other questions', 'i recommend the mumford theatre in the centre their phone number is 08451962320 is there anything else i can help you with', 'their phone number is 01223356354 do you need anything else', 'the phone number is 01223576412 is there anything else i can help you with', 'the phone number is 01223355397 may i assist you with anything else today', 'the contact number is 07062991767 do you have any other questions', 'sure the telephone number is 01223358966 is there anything else i can help you with', 'the phone number for golden wok is 01223 350688 is there anything else i can help you with', 'their phone number is 01223312598 do you need more information', 'sure the telephone number is 01223576412 is there anything else i can help with']"
s-68,"['no i m sorry we do nt have anything matching those criteria', 'sorry you are right we actually have 11 to choose from', 'i do nt have anything that meets those criteria can i try something else', 'there are none with that criteria in the area would you like to change the perimeters slightly and i shall try again', 'i m sorry i ca nt seem to find a place that fits that criteria can i find you something else', 'there are nt any unfortunately shall i look for something elsewhere', 'sorry i can not find any cinema in the west', 'there are none with that criteria in the north shall i change or try another area', 'i m sorry i ca nt book that right now', 'i m sorry there s no entertainment in the centre']"
s-69,"['i do nt have a 4 star in the moderate price range would you like me to look in a different price range', 'i have four listings that match the criteria how about the galleria it s in the centre with a moderate price range', 'i ll be glad to find you a place first is there an area or price range you recommend', 'which side of town and what is the price range', 'okay we have some options here do you have a price range', 'there are multiple options for you to narrow them down what price range do you have in mind', 'what is your price range to narrow down our choices', 'i got quite a number can you state your price preference', 'sure were you looking for a specific price range', 'yes all 7 guesthouses have internet available what price range are you looking for']"
s-70,"['sure thing what type of cuisine are you looking for what area of town andor what type of price range', 'what type of cuisine would you like', 'i d be happy to help you what kind of cuisine are you wanting to try', 'there are a large number of options to choose from do you have a preference for the type of food you would like', 'i m happy to help there are a great deal of restaurants there what type of food did you have in mind', 'you have come to the right place what kind of food do you like', 'do you have a food preference', 'sure thing what kind of food are you wanting', 'what type of food do you want to eat', 'i can help with that is there a certain type of cuisine or price range you are interested in']"
s-71,"['are you looking for a place to visit eat or stay do you need transportation', 'well what area are you interested in', 'what area of town would you be in', 'there are 17 what part of town would you like to stay in', 'which area of town are you interested in dining in', 'what area would you like to stay in', 'i have several options what area do you want to stay in', 'do you want to stay in a certain area', 'what area of town could you like the hotel to be located', 'which department did you need']"
s-72,"['what other star option would you like', 'yes i need more information on your trip first', 'i can help with that what sort of information do you need', 'sure we have many do you have a preference on what type of museum', 'what kind of entertainment are you looking for', 'what do you want to know', 'i sure can which stations will you be using', 'would you know the name of the musem', 'sure what would you like to know', 'ok great there are two places available i highly suggest the worth house what information do you need']"
s-73,"['we have 19 that match your search now do you have any other preferences', 'i have 5 different parks in town did you have a certain area of town you prefer', 'we have several options where would you like to go', 'there are 24 guesthouses in the city is there a particular area you would like to stay in', 'great that narrows it down to seven options', 'sure we have 18 do you have an area preference', 'sure there s lots to do here is there a certain area or type you re looking for', 'do you have a preference in stars', 'sure i have 10 options for you in that area', 'too many options to choose from can you please help narrow them down']"
s-74,"['i d recommend jesus green outdoor pool would you like more information', 'there are 4 theater s in the centre area and one in the south would you like more information on any of them', 'would you prefer to stay in the north west centre or east section of the city', 'great you might like milton country park in the north it has free entrance would you like more information', 'just to clarify would you like to arrive at milton country park by 1015 or leave the park by 1015', 'there are several colleges in either the centre or west part of town which area do you prefer', 'both options are 1280 pounds would you like to book one of these options', 'i have two options one in the north and one in the center do you have a preference', 'i have 4 attractions located in the north 2 are swimming pools there is also a boating attraction and a park which would you prefer', 'we have a few in the north west and centre do you have a preferred location']"
s-75,"['there are no boats on the west side of town right now do you have something else you d like to try', 'unfortunately there is no such place in town could you like to consider other areas of town', 'how about the vue cinema located in the centre of town', 'unfortunately we do nt have any attractions that match that description could you like to explore other areas', 'there are no multiple sports complexes in the same area but there is one in the east would you like more information', 'there are no nightclubs in the west would another area work for you', 'there are no matching records for entertainment in the centre of town would you like to change your criteria', 'there are 79 attraction near the center of town are you looking for something in particular', 'sure would you like to stay in the same centre area', 'i apologize but in that area there are no entertainment spots that is mainly the church area perhaps i can look in a different section of the city for you']"
